OriginalShorttext,Processed Text,Cluster
REPLACE ADAPTOR LOCK,adaptor lock,7
Replace adaptors as required,adaptor required,7
repalced adaptor pins,repalced adaptor pin,7
TWO BUCKET TEETH AND ADAPTORS MISSING.,two bucket teeth adaptor missing,7
Replace broken adaptor,broken adaptor,7
fitted two new adaptors,fitted two new adaptor,7
Replace missing adaptors,missing adaptor,7
replaced adaptor,replaced adaptor,7
replace adaptor  COMPLETED,adaptor completed,7
replace adaptor keeper pin,adaptor keeper pin,7
