OriginalShorttext,Processed Text
REPLACE LIP,lip
rebuild lip #3,rebuild lip 3
Repair RH120 lip at P&H,rh120 lip p h
Replace centre and LH lip shrouds,centre lh lip shroud
Fit a lip shroud,fit lip shroud
Refit left lip shroud,refit left lip shroud
replace lip shroud pin,lip shroud pin
lh outer lip shroud lost,lh outer lip shroud lost
Rebuild spare lip GET,rebuild spare lip get
RH120C-BUCKET FRONT LIP CHANGEOUT,rh120c-bucket front lip changeout
Change bucket lip.,change bucket lip
replace lip shroud,lip shroud
WELD CRACK IN LH LIP EAR(FRONT),weld crack lh lip ear front
change out damaged lip,change damaged lip
LH LIP EAR CRACKED,lh lip ear cracked
Change out bucket clam (lip),change bucket clam lip
refit lip shroud,refit lip shroud
repair crack in lh front lip ear,crack lh front lip ear
replace rh lip shroud!,rh lip shroud
replace lip shroud lock,lip shroud lock
REPLACE LEFT HAND LIP SHROUD,left hand lip shroud
