OriginalShorttext,Processed Text
replace missing tip& adaptor.,missing tip adaptor
REPLACE ADAPTOR LOCK,adaptor lock
CHANGE ADAPTOR AND TOOTH,change adaptor tooth
replace adaptor & tooth,adaptor tooth
replace adaptor and tip,adaptor tip
REPLACE TOOTH & ADAPTOR,tooth adaptor
Change LH bucket roll cylinder,change lh bucket roll cylinder
replace tip,tip
replace adaptor & tip,adaptor tip
replace tip,tip
replaced adaptor,replaced adaptor
replace 2 lost tips,2 lost tip
replace tooth,tooth
replace tooth & adaptor,tooth adaptor
replace tooth & adaptor,tooth adaptor
replace adaptor & tooth,adaptor tooth
lost tooth COMPLETED,lost tooth completed
replace tooth,tooth
replace tooth,tooth
