OriginalShorttext,Processed Text
BUCKET WON'T OPEN,bucket wo n't open
L/H BUCKET CYL LEAKING.,l/h bucket cylinder leaking
SWAP BUCKET,swap bucket
FIT BUCKET TOOTH,fit bucket tooth
REFIT BUCKET TOOTH,refit bucket tooth
REPAIR LOOSE BUCKET CYLINDER,loose bucket cylinder
REPLACE 2 BUCKET TEETH,2 bucket teeth
REPLACE MISSING LIP TIPS,missing lip tip
REPLACE LIP,lip
rebuild lip #3,rebuild lip 3
REPLACE BUCKET TEETH.,bucket teeth
Repair RH120 lip at P&H,rh120 lip p h
replace missing tip,missing tip
replace missing tip& adaptor.,missing tip adaptor
Replace centre and LH lip shrouds,centre lh lip shroud
OIL LEAK ON BUCKET....,oil leak bucket ....
REPLACE ADAPTOR LOCK,adaptor lock
Fit a lip shroud,fit lip shroud
Refit left lip shroud,refit left lip shroud
refit adapter and tooth,refit adapter tooth
FIT NEW TOOTH,fit new tooth
cut off broken wear package,cut broken wear package
CHANGE ADAPTOR AND TOOTH,change adaptor tooth
replace adaptor & tooth,adaptor tooth
replace lip shroud pin,lip shroud pin
Replace adaptors as required,adaptor required
repalced adaptor pins,repalced adaptor pin
REPLACE L/H BUCKET CYLINDER GREASE LINE,l/h bucket cylinder grease line
replace adaptor and tip,adaptor tip
"loose grease line on bucket ,",loose grease line bucket
O-RING U/S  ON BUCKET RAM,o-ring u/s bucket ram
TWO BUCKET TEETH AND ADAPTORS MISSING.,two bucket teeth adaptor missing
Replace broken adaptor,broken adaptor
PARTS FOR BUCKET,part bucket
fitted two new adaptors,fitted two new adaptor
replace bucket tip & pins,bucket tip pin
REPLACE TOOTH & ADAPTOR,tooth adaptor
BROKEN GREASE LINE ON BUCKET.,broken grease line bucket
repair to bucket,bucket
Replace missing adaptors,missing adaptor
lh outer lip shroud lost,lh outer lip shroud lost
Rebuild spare lip GET,rebuild spare lip get
REFIT RH OUTER ADAPTER,refit rh outer adapter
replace bent adapter pin,bent adapter pin
RH120C-BUCKET FRONT LIP CHANGEOUT,rh120c-bucket front lip changeout
Change LH bucket roll cylinder,change lh bucket roll cylinder
Change bucket lip.,change bucket lip
fit teeth to bucket,fit teeth bucket
REPLACE WEAR PACKAGE LOWER WALL,wear package lower wall
air con. not getting cold.,air con getting cold
"Missing adapter,tooth and pins",missing adapter tooth pin
L/H BUCKET CYL GLAND SEAL LEAKING,l/h bucket cylinder gland seal leaking
REPLACE MISSING BUCKET TOOTH,missing bucket tooth
repair wear package rhs inside bkt wall,wear package rh inside bkt wall
replace tip,tip
replace adaptor & tip,adaptor tip
replace lip shroud,lip shroud
WELD CRACK IN LH LIP EAR(FRONT),weld crack lh lip ear front
replace tip,tip
change out damaged lip,change damaged lip
replaced adaptor,replaced adaptor
replace stick to bucket hose,stick bucket hose
REPLACE BUSTED LIP PIVOT GREASE LINES,busted lip pivot grease line
LH LIP EAR CRACKED,lh lip ear cracked
Change out bucket clam (lip),change bucket clam lip
replace 2 lost tips,2 lost tip
replace lh outer adapter & tip,lh outer adapter tip
recover lower wear edge plate (CC1500),recover lower wear edge plate cc1500
replace tooth,tooth
refit lip shroud,refit lip shroud
replace tooth & adaptor,tooth adaptor
oil leak rh boom valve clam pipe adapter,oil leak rh boom valve clam pipe adapter
replace tooth & adaptor,tooth adaptor
repair crack in lh front lip ear,crack lh front lip ear
replace rh lip shroud!,rh lip shroud
fit new tooth,fit new tooth
replace adaptor  COMPLETED,adaptor completed
replace teeth,teeth
replace tip & pin  completed,tip pin completed
replace busted grease hose bucket pin,busted grease hose bucket pin
R/H BUCKET ROD CYL GLAND SEAL LEAKING,r/h bucket rod cylinder gland seal leaking
Repair broken grease line on bucket,broken grease line bucket
replace adaptor & tooth,adaptor tooth
lost tooth COMPLETED,lost tooth completed
replace lip shroud lock,lip shroud lock
bucket clam gard is falling off,bucket clam gard falling
replace grease line on bucket,grease line bucket
Replace centre tooth,centre tooth
oil leak dist. block rear of bucket,oil leak dist block rear bucket
replace broken bucket lube fittings,broken bucket lube fitting
REPAIR BROKEN GREASE FITTING ON BUCKET.,broken grease fitting bucket
replace tooth,tooth
Reorder bucket tips SHD16,reorder bucket tip shd16
Replace bucket tip,bucket tip
GET SUSPENTION ROPE SOCKETS,get suspention rope socket
REPLACE LEFT HAND LIP SHROUD,left hand lip shroud
replace tooth,tooth
Broken grease line on bucket,broken grease line bucket
replace adaptor keeper pin,adaptor keeper pin
